"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_ebi",0,NA,NA,NA,NA
"asc_anago",0.18304909411484,0.0632581049463226,2.89368602284507,0.0632581042324266,2.89368605550161
"asc_maguro",-0.125454306150459,0.0682543297725739,-1.8380417267077,0.0682543289990925,-1.83804174753702
"asc_ika",-0.697523555157271,0.0810516556112692,-8.60591372127739,0.0810516546952434,-8.6059138185393
"asc_uni",0.489196001021739,0.0593472334632626,8.24294533163982,0.0593472327937216,8.24294542463471
"asc_ikura",0.17391661055155,0.0633898131181417,2.74360503678116,0.0633898123947916,2.74360506808883
"asc_tamago",-0.798993015322755,0.0838914470476896,-9.52412961560375,0.0838914461070613,-9.52412972239255
"asc_toro",1.31913231421227,0.0526039657480613,25.0766704649238,0.0526039651509675,25.0766707495625
"asc_tekka_maki",-1.39948136539709,0.105037914046728,-13.3235829947509,0.105037912864416,-13.3235831447218
"asc_kappa_maki",-2.54335335637759,0.173093239698769,-14.6935452869432,0.173093487363842,-14.6935242631716
