"asc_anago","asc_maguro","asc_ika","asc_uni","asc_ikura","asc_tamago","asc_toro","asc_tekka_maki","asc_kappa_maki","b_price_x_west","b_oil_x_age","b_oil_x_west","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,-11512.9254649699
0.00275914581623278,-0.00644184086556231,-0.0306183616619274,0.0100507659238201,0.00269302190322344,-0.0362025429194154,0.022484617159481,-0.0741841848389028,-0.160635210772517,0.00958765185261604,0.00643607412390686,0.014456869131842,-11302.3483086931
0.0151151625528527,-0.0409915988133423,-0.246284593197688,0.0763208426188242,0.0299114346594007,-0.325437077409703,0.190746922160901,-0.758932575593636,-1.9472127070072,0.0465132677336037,0.0538630089713378,0.0711599045625042,-10293.8210324792
0.0133084769096484,-0.212277800786171,-0.776866246312017,0.255164806396795,0.0199365127995341,-0.920841664540353,0.754988368815814,-1.652251615808,-2.49305314643706,0.0398125229856322,0.0747182462055393,-0.120496016124492,-9786.14241924968
-0.0976689087988156,-0.255674597605977,-0.706310432602126,0.217911429459395,-0.0258740113780448,-0.888681264758506,1.01601054129088,-1.62399151205732,-2.6619652895733,-0.0643249247714968,0.0924647477877282,-0.0465778301541868,-9735.61467477849
-0.0868928153501353,-0.265456873071638,-0.712916518878739,0.22562139300287,-0.0278389699176744,-0.869332372611291,1.03171604680935,-1.49198768236712,-2.48851905385012,-0.0645011253653259,0.0908358418203098,-0.0610310592231983,-9733.30539643425
-0.0855519557366332,-0.265553636698334,-0.711037333376438,0.229069734549779,-0.0262505349154006,-0.869187032868115,1.03921836631221,-1.47552484790962,-2.42827161846464,-0.0659893947980758,0.0895327732628185,-0.058343768968607,-9733.20722889013
-0.0842323955755686,-0.264892797699094,-0.710828420960671,0.230431530528431,-0.0252744901119459,-0.869196894994756,1.04091578636078,-1.47470549246231,-2.42593413824686,-0.0662022349586994,0.0890338343316456,-0.057594011960742,-9733.20648702741
-0.0841169809804508,-0.26477931855395,-0.7107416038103,0.2305010867198,-0.0251978905312207,-0.869258167652718,1.04100840184068,-1.47464818063778,-2.42593758967035,-0.0661947989333639,0.0890153613647184,-0.0575958875921564,-9733.2064836656
-0.0841088879039538,-0.264773990648216,-0.710740215689389,0.230509949671972,-0.025190557880733,-0.86925674665015,1.04101809374237,-1.47464940142981,-2.42595853530033,-0.0661935367706465,0.0890134553753845,-0.0576005491231645,-9733.206483649
