"asc_anago","asc_maguro","asc_ika","asc_uni","asc_ikura","asc_tamago","asc_toro","asc_tekka_maki","asc_kappa_maki","lambda_akami","lambda_seafood_other","lambda_non_seafood","logLike"
0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,-33524.07567764
0.00968792224452069,0.00455410916547654,-0.0300513129406435,0.0191258746719797,0.0156951531262861,-0.0696857437591151,0.0469312038331298,-0.0906829382949764,-0.26405605918131,0.538515939659721,0.533495371603168,0.167617064537244,-31869.3533398954
0.0162528301806249,0.00411329625789623,-0.0600769926340377,0.0355075681480233,0.0284805001220484,-0.0986906464016356,0.0938561334224535,-0.176118002533671,-0.277700031955227,0.553478692411529,0.552960756296765,0.147786756465718,-31423.3458327774
0.0303885272674987,0.00552934185629044,-0.12206788750347,0.070777670661125,0.0558756176444121,-0.158485725723279,0.203200342923253,-0.340822006617346,-0.299143223526398,0.565756837494725,0.592797308731092,0.113848785247257,-30708.6872937439
0.0337040785343658,0.00229703978261251,-0.146060284268405,0.0836947212516802,0.0651313822212509,-0.172011704685436,0.250373768484051,-0.370676278318512,-0.304322719756554,0.55882008390998,0.599529847343269,0.106414140524757,-30527.8950184618
0.0546501030816365,0.102569277192446,-0.260591839173661,0.15902102796095,0.119425903441229,-0.329601102797146,0.607835725924105,-0.412966521656096,-0.363430938768627,0.433970667451406,0.654023822543934,0.0231796391198992,-29676.2921902432
0.0951032495331736,0.871857549326894,-0.496041277979921,0.285483322194978,0.21640829095989,-0.381099304517729,1.40806589047893,0.321130904454985,-0.380028928287298,0.479353788042386,1.11697285742358,0.00363482930614563,-29402.0088999568
0.124973201409767,1.07549622994586,-0.553154531305686,0.340514544563067,0.267712247556171,-0.379380411357076,1.59923231536028,0.55107036199462,-0.381974569397507,0.470425274307432,1.20995137929633,0.00784936771611798,-29252.492537581
0.119399532024793,1.07704490942167,-0.5616307105027,0.333160725294135,0.261457212595885,-0.378759824125378,1.59863106882562,0.554102611159899,-0.382600031879636,0.468342784851124,1.20492275219441,0.00620376415149509,-29210.5273285859
0.102656350276952,1.09059923175168,-0.578952798862746,0.310984130929439,0.242670594246161,-0.377476933724396,1.57945350317524,0.605122341432414,-0.383918516565931,0.43466107304574,1.18990155465523,0.0043869815120715,-29167.7243887627
0.0928167451553354,1.11402054715789,-0.57416204680694,0.29364188612127,0.227397541913469,-0.377753828452887,1.52474608164946,0.714344988643263,-0.383741886801918,0.3592445447028,1.15549017024216,0.0045504549517015,-29153.1095105739
0.093102982160003,1.16535770600665,-0.56908871743102,0.292940537579398,0.227080828495856,-0.380150926046834,1.51586945753641,0.823252132521482,-0.38430742354996,0.305962018600447,1.14900595548493,0.00325718781650227,-29150.2863347311
0.0915960496440926,1.16765923843722,-0.568756514018297,0.290362578492187,0.224515478420288,-0.383864532288557,1.51185047208117,0.82906123011742,-0.385033921220778,0.301302156467211,1.14713570636644,0.000889038629897644,-28633.7506602739
0.0914917957776031,1.16777048411369,-0.568759516201855,0.290093327430239,0.224217916889073,-0.384023887016447,1.51148178130295,0.829657125829968,-0.385054921103429,0.300839756301841,1.14694475451816,0.00080294271847939,-28512.9779893548
0.0913373641992104,1.16761579022229,-0.568755841769777,0.289985724497769,0.224119423014442,-0.384173131901197,1.51124344265988,0.829550260158459,-0.3850839793483,0.300777129932713,1.14684872913063,0.000707605290850256,-28512.9298273751
0.0912930111042593,1.1670328442856,-0.568605305391867,0.289876292381078,0.224023576311435,-0.384713926347395,1.51066488699219,0.828961675057579,-0.385185846581333,0.300781294427167,1.14648021937249,0.000366825822839654,-28301.0157547695
