model,parameter,coef,se,z,p_value,ci_low,ci_high
M3_interactions,asc_anago,-0.08411,0.09355,-0.89905,0.36862,-0.26747,0.09925
M3_interactions,asc_maguro,-0.26477,0.07734,-3.42367,0.00062,-0.41635,-0.1132
M3_interactions,asc_ika,-0.71074,0.08127,-8.74568,0.0,-0.87002,-0.55146
M3_interactions,asc_uni,0.23051,0.0897,2.56989,0.01017,0.05471,0.40631
M3_interactions,asc_ikura,-0.02519,0.08171,-0.30828,0.75787,-0.18535,0.13497
M3_interactions,asc_tamago,-0.86926,0.08695,-9.99709,0.0,-1.03968,-0.69883
M3_interactions,asc_toro,1.04102,0.09199,11.31702,0.0,0.86072,1.22131
M3_interactions,asc_tekka_maki,-1.47465,0.10702,-13.77863,0.0,-1.68442,-1.26488
M3_interactions,asc_kappa_maki,-2.42596,0.17611,-13.77563,0.0,-2.77113,-2.08079
M3_interactions,b_price_x_west,-0.06619,0.04521,-1.46415,0.14315,-0.1548,0.02242
M3_interactions,b_oil_x_age,0.08901,0.01713,5.19733,0.0,0.05545,0.12258
M3_interactions,b_oil_x_west,-0.0576,0.06692,-0.86076,0.38937,-0.18876,0.07356
M3r_restricted,asc_anago,-0.12533,0.08511,-1.47262,0.14085,-0.29215,0.04148
M3r_restricted,asc_maguro,-0.28603,0.07415,-3.85749,0.00011,-0.43137,-0.1407
M3r_restricted,asc_ika,-0.70416,0.08106,-8.68688,0.0,-0.86304,-0.54528
M3r_restricted,asc_uni,0.16045,0.08502,1.88712,0.05914,-0.0062,0.32709
M3r_restricted,asc_ikura,-0.07437,0.07798,-0.9536,0.34029,-0.22721,0.07848
M3r_restricted,asc_tamago,-0.85847,0.08455,-10.15303,0.0,-1.02419,-0.69274
M3r_restricted,asc_toro,0.94305,0.08767,10.75642,0.0,0.77121,1.11488
M3r_restricted,asc_tekka_maki,-1.47914,0.10599,-13.95532,0.0,-1.68689,-1.2714
M3r_restricted,asc_kappa_maki,-2.38405,0.17522,-13.60638,0.0,-2.72747,-2.04063
M3r_restricted,b_oil_x_age,0.08994,0.01711,5.25564,0.0,0.0564,0.12349

# LR M2_asc vs M3_interactions: LR=43.72 df=3 p=1.73e-09 (reject H0)

# LR M3r_restricted vs M3_interactions: LR=15.58 df=2 p=4.13e-04 (reject H0)
