"model","parameter","estimate","se","t_ratio"
"LC2","asc_anago_a",0.34828,0.05916,5.888
"LC2","asc_maguro_a",0.74635,0.06434,11.6
"LC2","asc_ika_a",-0.61336,0.07178,-8.545
"LC2","asc_uni_a",0.85227,0.062,13.746
"LC2","asc_ikura_a",0.63341,0.05841,10.844
"LC2","asc_tamago_a",-1.43144,0.1151,-12.436
"LC2","asc_toro_a",1.99811,0.0831,24.045
"LC2","asc_tekka_maki_a",-0.42256,0.07319,-5.774
"LC2","asc_kappa_maki_a",-3.0908,0.24365,-12.686
"LC2","asc_anago_b",-0.48849,0.079,-6.183
"LC2","asc_maguro_b",-0.88051,0.10111,-8.709
"LC2","asc_ika_b",-0.54557,0.07261,-7.514
"LC2","asc_uni_b",-1.39515,0.17943,-7.776
"LC2","asc_ikura_b",-0.82471,0.1041,-7.923
"LC2","asc_tamago_b",-0.72436,0.08216,-8.817
"LC2","asc_toro_b",-0.98727,0.15901,-6.209
"LC2","asc_tekka_maki_b",-1.3788,0.10372,-13.293
"LC2","asc_kappa_maki_b",-1.71324,0.09934,-17.246
"LC2","delta_a",1.07694,0.16618,6.481
"LC2","gamma_age_a",0.16583,0.04759,3.484
"LC2","gamma_west_a",-0.3314,0.09644,-3.436
"LC2","gamma_female_a",-0.74948,0.09703,-7.724
"LC2","gamma_moved_a",0.27054,0.09797,2.762
"LC3","asc_anago_a",0.34553,0.08055,4.289
"LC3","asc_maguro_a",-0.5544,0.13371,-4.146
"LC3","asc_ika_a",-0.84707,0.11337,-7.472
"LC3","asc_uni_a",1.85034,0.10059,18.395
"LC3","asc_ikura_a",0.91679,0.07804,11.747
"LC3","asc_tamago_a",-2.17586,0.23636,-9.206
"LC3","asc_toro_a",1.40751,0.09037,15.575
"LC3","asc_tekka_maki_a",-2.08302,0.23242,-8.962
"LC3","asc_kappa_maki_a",-3.36591,0.36784,-9.15
"LC3","asc_anago_b",-0.38025,0.06893,-5.516
"LC3","asc_maguro_b",-0.57598,0.08403,-6.854
"LC3","asc_ika_b",-0.49254,0.0652,-7.554
"LC3","asc_uni_b",-2.18676,0.25165,-8.69
"LC3","asc_ikura_b",-0.73696,0.07911,-9.315
"LC3","asc_tamago_b",-0.65953,0.06995,-9.429
"LC3","asc_toro_b",-0.59982,0.12075,-4.967
"LC3","asc_tekka_maki_b",-1.13172,0.08605,-13.151
"LC3","asc_kappa_maki_b",-1.72961,0.09141,-18.922
"LC3","asc_anago_c",0.30157,0.09664,3.12
"LC3","asc_maguro_c",1.46398,0.10206,14.344
"LC3","asc_ika_c",-0.49442,0.11457,-4.315
"LC3","asc_uni_c",-0.08069,0.15379,-0.525
"LC3","asc_ikura_c",0.29393,0.09943,2.956
"LC3","asc_tamago_c",-1.21924,0.16299,-7.481
"LC3","asc_toro_c",2.83793,0.13367,21.231
"LC3","asc_tekka_maki_c",0.15006,0.10246,1.465
"LC3","asc_kappa_maki_c",-2.84158,0.31955,-8.892
"LC3","delta_a",-0.62997,0.16251,-3.877
"LC3","gamma_age_a",0.17626,0.04699,3.751
"LC3","gamma_west_a",0.12827,0.10429,1.23
"LC3","gamma_female_a",0.38362,0.09956,3.853
"LC3","gamma_moved_a",0.0372,0.09702,0.383
"LC3","delta_b",-0.34823,0.17068,-2.04
"LC3","gamma_age_b",-0.11744,0.05164,-2.274
"LC3","gamma_west_b",0.35596,0.10643,3.344
"LC3","gamma_female_b",0.81059,0.10259,7.901
"LC3","gamma_moved_b",-0.27307,0.10499,-2.601
