model,parameter,estimate,se,z_or_t,p_value,note
M4,asc_anago,0.01252,0.012,1.04383,0.29657,
M4,asc_maguro,-0.10341,0.08591,-1.20365,0.22873,
M4,asc_ika,-0.18306,0.03247,-5.63846,0.0,
M4,asc_uni,0.08298,0.01661,4.99696,0.0,
M4,asc_ikura,0.05414,0.01405,3.85425,0.00012,
M4,asc_tamago,-1.69544,0.07514,-22.56405,0.0,
M4,asc_toro,0.26661,0.07947,3.35484,0.00079,
M4,asc_tekka_maki,-0.46912,0.10065,-4.66072,0.0,
M4,asc_kappa_maki,-1.6975,0.07526,-22.55566,0.0,
M4,lambda_akami,0.32465,0.02589,-26.08227,0.0,t-test vs lambda=1 (delta method on log scale)
M4,lambda_seafood_other,0.33566,0.05292,-12.55436,0.0,t-test vs lambda=1 (delta method on log scale)
M4,lambda_non_seafood,0.00161,0.00863,-115.64631,0.0,t-test vs lambda=1 (delta method on log scale)
M4b,asc_anago,0.01282,0.0127,1.00935,0.31281,
M4b,asc_maguro,-0.09144,0.1487,-0.61495,0.53859,
M4b,asc_ika,-0.18656,0.05364,-3.47819,0.0005,
M4b,asc_uni,0.08451,0.02533,3.33595,0.00085,
M4b,asc_ikura,0.05523,0.01934,2.85521,0.0043,
M4b,asc_tamago,-1.93947,0.14773,-13.12892,0.0,
M4b,asc_toro,0.27618,0.14283,1.93363,0.05316,
M4b,asc_tekka_maki,-0.45478,0.15986,-2.84477,0.00444,
M4b,asc_kappa_maki,-3.04534,0.15736,-19.35222,0.0,
M4b,lambda_akami,0.32254,0.026,-26.05222,0.0,t-test vs lambda=1
M4b,lambda_seafood_other,0.34219,0.09512,-6.9157,0.0,t-test vs lambda=1
M4b,lambda_non_seafood,1.0,,,,fixed (boundary in M4: degenerate nest)

# M4 Nested Logit, exploded ranks 1-3, N = 15000 pseudo-choices from 5000 users
# LL(M4) = -29112.13; LL(M2exp) = -29446.46; LR = 668.66, df = 3, p = 1.31e-144
# lambda in (0,1): within-nest correlation; lambda = 1: MNL
# M4b: LL = -29159.71, lambdas at boundary fixed at 1 (degenerate nest)
